Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Correlate
251,3/21/2020,6:00 PM,Delhi,25,1,5,1,26,0
252,3/21/2020,6:00 PM,Gujarat,7,0,0,0,7,0
253,3/21/2020,6:00 PM,Haryana,3,14,0,0,17,0
254,3/21/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2,0
255,3/21/2020,6:00 PM,Karnataka,15,0,1,1,15,0
256,3/21/2020,6:00 PM,Kerala,33,7,3,0,40,0
257,3/21/2020,6:00 PM,Madhya Pradesh,4,0,0,0,4,0
258,3/21/2020,6:00 PM,Maharashtra,60,3,0,1,63,0
259,3/21/2020,6:00 PM,Odisha,2,0,0,0,2,0
260,3/21/2020,6:00 PM,Puducherry,1,0,0,0,1,0
261,3/21/2020,6:00 PM,Punjab,13,0,0,1,13,0
262,3/21/2020,6:00 PM,Rajasthan,15,2,3,0,17,0
263,3/21/2020,6:00 PM,Tamil Nadu,3,0,1,0,3,0
264,3/21/2020,6:00 PM,Telengana,10,11,1,0,21,0
265,3/21/2020,6:00 PM,Chandigarh,1,0,0,0,1,0
266,3/21/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0
267,3/21/2020,6:00 PM,Ladakh,13,0,0,0,13,0
268,3/21/2020,6:00 PM,Uttar Pradesh,23,1,9,0,24,0
269,3/21/2020,6:00 PM,Uttarakhand,3,0,0,0,3,0
270,3/21/2020,6:00 PM,West Bengal,3,0,0,0,3,0
271,3/22/2020,6:00 PM,Andhra Pradesh,5,0,0,0,5,0
272,3/22/2020,6:00 PM,Bihar,2,0,0,1,2,0
273,3/22/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,0
274,3/22/2020,6:00 PM,Delhi,28,1,5,1,29,0
275,3/22/2020,6:00 PM,Gujarat,18,0,0,1,18,0
276,3/22/2020,6:00 PM,Haryana,7,14,0,0,21,0
277,3/22/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2,0
278,3/22/2020,6:00 PM,Karnataka,26,0,2,1,26,0
279,3/22/2020,6:00 PM,Kerala,45,7,3,0,52,0
280,3/22/2020,6:00 PM,Madhya Pradesh,4,0,0,0,4,0
281,3/22/2020,6:00 PM,Maharashtra,64,3,0,2,67,0
282,3/22/2020,6:00 PM,Odisha,2,0,0,0,2,0
283,3/22/2020,6:00 PM,Puducherry,1,0,0,0,1,0
284,3/22/2020,6:00 PM,Punjab,21,0,0,1,21,0
285,3/22/2020,6:00 PM,Rajasthan,22,2,3,0,24,0
286,3/22/2020,6:00 PM,Tamil Nadu,5,2,1,0,7,0
287,3/22/2020,6:00 PM,Telengana,11,11,1,0,22,0
288,3/22/2020,6:00 PM,Chandigarh,5,0,0,0,5,0
289,3/22/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0
290,3/22/2020,6:00 PM,Ladakh,13,0,0,0,13,0
291,3/22/2020,6:00 PM,Uttar Pradesh,26,1,9,0,27,0
292,3/22/2020,6:00 PM,Uttarakhand,3,0,0,0,3,0
293,3/22/2020,6:00 PM,West Bengal,4,0,0,0,4,0
294,3/23/2020,6:00 PM,Andhra Pradesh,7,0,0,0,7,0
295,3/23/2020,6:00 PM,Bihar,2,0,0,1,2,0
296,3/23/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,0
297,3/23/2020,6:00 PM,Delhi,28,1,5,1,29,0
298,3/23/2020,6:00 PM,Gujarat,29,0,0,1,29,0
299,3/23/2020,6:00 PM,Haryana,12,14,0,0,26,0
300,3/23/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2,0
301,3/23/2020,6:00 PM,Karnataka,33,0,2,1,33,0
302,3/23/2020,6:00 PM,Kerala,60,7,3,0,67,0
303,3/23/2020,6:00 PM,Madhya Pradesh,6,0,0,0,6,0
304,3/23/2020,6:00 PM,Maharashtra,71,3,0,2,74,0
305,3/23/2020,6:00 PM,Odisha,2,0,0,0,2,0
306,3/23/2020,6:00 PM,Puducherry,1,0,0,0,1,0
307,3/23/2020,6:00 PM,Punjab,21,0,0,1,21,0
308,3/23/2020,6:00 PM,Rajasthan,26,2,3,0,28,0
309,3/23/2020,6:00 PM,Tamil Nadu,7,2,1,0,9,0
310,3/23/2020,6:00 PM,Telengana,22,10,1,0,32,0
311,3/23/2020,6:00 PM,Chandigarh,6,0,0,0,6,0
312,3/23/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0
313,3/23/2020,6:00 PM,Ladakh,13,0,0,0,13,0
314,3/23/2020,6:00 PM,Uttar Pradesh,30,1,9,0,31,0
315,3/23/2020,6:00 PM,Uttarakhand,3,0,0,0,3,0
316,3/23/2020,6:00 PM,West Bengal,7,0,0,0,7,0
317,3/24/2020,6:00 PM,Andhra Pradesh,8,0,0,0,8,0
318,3/24/2020,6:00 PM,Bihar,3,0,0,1,3,0
319,3/24/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,0
320,3/24/2020,6:00 PM,Delhi,29,1,6,1,30,0
321,3/24/2020,6:00 PM,Gujarat,32,1,0,1,33,0
322,3/24/2020,6:00 PM,Haryana,14,14,11,0,28,0
323,3/24/2020,6:00 PM,Himachal Pradesh,3,0,0,1,3,0
324,3/24/2020,6:00 PM,Karnataka,37,0,3,1,37,0
325,3/24/2020,6:00 PM,Kerala,87,8,4,0,95,0
326,3/24/2020,6:00 PM,Madhya Pradesh,7,0,0,0,7,0
327,3/24/2020,6:00 PM,Maharashtra,86,3,0,2,89,0
328,3/24/2020,6:00 PM,Manipur,1,0,0,0,1,0
329,3/24/2020,6:00 PM,Odisha,2,0,0,0,2,0
330,3/24/2020,6:00 PM,Puducherry,1,0,0,0,1,0
331,3/24/2020,6:00 PM,Punjab,29,0,0,1,29,0
332,3/24/2020,6:00 PM,Rajasthan,30,2,3,0,32,0
333,3/24/2020,6:00 PM,Tamil Nadu,13,2,1,0,15,0
334,3/24/2020,6:00 PM,Telengana,25,10,1,0,35,0
335,3/24/2020,6:00 PM,Chandigarh,7,0,0,0,7,0
336,3/24/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0
337,3/24/2020,6:00 PM,Ladakh,13,0,0,0,13,0
